,"ROCK STAR CORP Server LIST",
,,
"IP RANGE",,"TYPE OF Servers / LOCATION"
12.205.151.91/24,,"New York Database Servers"
15.199.151.91/24,,"New York Web Servers"
15.199.158.91/28,,"New York Web Servers"
15.199.141.91/28,,"New York Web Servers"
15.199.131.91/28,,"New York Application Servers"
15.199.121.91/28,,"New York Application Servers"
15.199.111.91/28,,"Chicago Database Servers"
15.199.100.91/28,,"Chicago Web Servers"
15.199.99.91/28,,"Chicago Web Servers"
15.199.98.91/28,,"Chicago Web Servers"
15.199.97.91/28,,"Chicago Application Servers"
15.199.96.91/28,,"Chicago Application Servers"
15.199.95.91/28,,"Hollywood Database Servers"
15.199.94.91/28,,"Hollywood Web Servers"
11.199.158.91/28,,"Hollywood Web Servers"
167.172.144.11/32,,"Hollywood Application Servers"
11.199.141.91/28,,"Hollywood Application Servers"
11.199.131.91/28,,"Miami Database Servers"
11.199.121.91/29,,"Miami Web Servers"
11.199.111.91/28,,"Miami Web Servers"
11.199.100.91/32,,"Miami Web Servers"
11.199.99.91/24,,"Miami Application Servers"
11.199.98.91/28,,"Miami Database Servers"
